Packet Number,Time,Battery Voltage,Altitude,Temperature,Humidity,Lux,State,alt_th
187,3520,3.442536,65504,20,41,849,3,234
188,3521,3.517284,65503,20,41,831,3,234
189,3522,3.567116,65504,20,41,844,3,234
190,3523,3.533895,65504,20,41,827,3,234
191,3524,3.475758,65504,20,41,826,3,234
192,3525,3.529742,65505,20,41,845,3,234
193,3527,3.567116,65504,20,41,837,3,234
194,3528,3.562963,65502,20,41,847,3,234
195,3529,3.479910,65502,20,41,854,3,234
196,3530,3.517284,65503,20,41,853,3,234
197,3531,3.492368,65503,20,41,856,3,234
198,3532,3.425926,65502,20,41,836,3,234
199,3533,3.554658,65504,20,41,843,3,234
200,3534,3.446689,65503,20,41,848,3,234
201,3536,3.467452,65502,20,41,846,3,234
202,3537,3.442536,65502,20,41,846,3,234
203,3538,3.554658,65504,20,41,855,3,234
204,3539,3.558810,65502,20,41,844,3,234
205,3540,3.529742,65502,20,41,844,3,234
206,3545,3.529742,65503,20,41,843,3,234
207,3546,3.525589,65503,20,41,842,3,234
208,3547,3.542200,65504,20,41,829,3,234
209,3548,3.525589,65504,20,41,852,3,234
210,3549,3.558810,65502,20,41,850,3,234
211,3550,3.567116,65503,20,41,849,3,234
212,3552,3.442536,65503,20,41,852,3,234
213,3553,3.567116,65504,20,41,853,3,234
214,3554,3.554658,65504,20,41,834,3,234
215,3555,3.525589,65502,20,41,844,3,234
216,3556,3.513131,65503,20,41,843,3,234
217,3557,3.500673,65502,20,41,849,3,234
218,3558,3.529742,65503,20,41,821,3,234
219,3559,3.533895,65503,20,41,846,3,234
220,3561,3.554658,65504,20,41,853,3,234
221,3562,3.567116,65504,20,41,853,3,234
222,3563,3.558810,65504,20,41,825,3,234
223,3564,3.550505,65503,20,41,842,3,234
224,3565,3.567116,65502,20,41,846,3,234
225,3566,3.542200,65504,20,41,832,3,234
226,3567,3.513131,65504,20,41,836,3,234
227,3568,3.554658,65504,20,41,842,3,234
228,3570,3.554658,65505,20,41,851,3,234
229,3572,3.479910,65504,20,41,843,3,234
230,3573,3.529742,65505,20,41,842,3,234
231,3574,3.521437,65504,20,41,840,3,234
232,3575,3.525589,65504,20,41,849,3,234
233,3577,3.550505,65505,20,41,853,3,234
234,3578,3.529742,65504,20,41,831,3,234
235,3579,3.442536,65505,20,41,849,3,234
236,3580,3.467452,65504,20,41,846,3,234
237,3581,3.562963,65505,20,41,845,3,234
238,3582,3.508979,65504,20,41,849,3,234
239,3583,3.521437,65504,20,41,843,3,234
240,3584,3.513131,65504,20,41,837,3,234
241,3586,3.517284,65504,20,41,842,3,234
242,3587,3.488215,65504,20,42,844,3,234
243,3588,3.513131,65504,20,42,844,3,234
244,3589,3.496521,65504,20,42,833,3,234
245,3590,3.562963,65504,20,42,840,3,234
246,3591,3.542200,65504,20,42,840,3,234
247,3592,3.517284,65503,20,42,851,3,234
248,3593,3.438384,65504,20,42,849,3,234
249,3595,3.513131,65504,20,42,840,3,234
250,3596,3.517284,65504,20,42,831,3,234
251,3597,3.558810,65504,20,42,843,3,234
252,3598,3.500673,65503,20,42,851,3,234
253,3599,3.529742,65504,20,42,852,3,234
254,3600,3.434231,65504,20,42,840,3,234
255,3602,3.446689,65505,20,42,843,3,234
256,3603,3.421773,65504,20,42,835,3,234
257,3604,3.500673,65503,20,42,844,3,234
258,3605,3.504826,65504,20,42,828,3,234
259,3606,3.525589,65505,20,42,832,3,234
